pub_loc,pub_title
Chicago,Chicago Tribune
ARLINGTON HEIGHTS,Daily Herald
Portland,Portland Press Herald
MIAMI,EFE News Service
SPRINGFIELD,Targeted News Service
Arlington,Detroit Free Press
Minneapolis,Star Tribune
DUBUQUE,Telegraph - Herald
Los Angeles,Los Angeles Times
BOSTON,Boston Globe (Online)
Washington,The Washington Post (Online)
M̩xico D. F.,NOTIMEX
New York,HuffPost
Atlanta,CNN Wire Service
CHEYENNE,Wyoming Tribune - Eagle
Mc Lean,Argus Leader
ATLANTA,Dayton Daily News (Online)
MacLean,USA Today (Online)
SAINT PETERSBURG,Tampa Bay Times (Online)
Singer Island,The Center Square: Nevada
NEW YORK,New York Times
Pittsford,Palm Beach Daily News
PHILADELPHIA,Philadelphia Inquirer
Spokane,Spokesman Review
St. Louis,St. Louis Post - Dispatch
San Francisco,Business Wire
DENVER,Washington Examiner
Pittsburgh,Pittsburgh Post - Gazette
Bismarck,Bismarck Tribune
Sheboygan,Press
Jacksonville,Florida Times Union
Melville,Newsday
LEWISTON,Sun Journal
Detroit,Crain's Detroit Business
Lancaster,LNP
Denver,Westword (Online)
WARRENDALE,Tribune - Review / Pittsburgh Tribune - Review
HAZLETON,Standard - Speaker
Waterville,Morning Sentinel
SAINT JOSEPH,St. Joseph News - Press
WASHINGTON,U.S. Newswire
New Haven,New Haven Register
ALBUQUERQUE,Albuquerque Journal
Wooster,Daily Record
SCRANTON,The Times - Tribune
Honolulu,Honolulu Star - Advertiser
LIMA,Lima News
Topeka,Topeka Capital Journal
COLORADO SPRINGS,The Gazette
SAVANNAH,Savannah Morning News
Madison,Wisconsin State Journal
Greenbelt,Voice of America News / FIND
Manchester,New Hampshire Business Review
AUGUSTA,Kennebec Journal
TOLEDO,La Prensa
HERMOSA BEACH,Creators Syndicate
Bangor,Bangor Daily News
Fort Collins,BizWest
Boston,The Christian Science Monitor
Salt Lake City,The Salt Lake Tribune
BLOOMINGTON,Pantagraph
Troy,Grand Rapids Business Journal
Miami,El Vocero de Puerto Rico
SANTA FE,The Santa Fe New Mexican
POTTSVILLE,Republican & Herald
Sacramento,CALmatters
Santa Rosa,The Press Democrat
Austin,The Texas Tribune
WILKES BARRE,Citizens' Voice
Cincinnati,The American Israelite
"",NJBIZ
HOMEWOOD,Muslim Journal
Wheeling,Marshfield News Herald
VANCOUVER,Columbian
Indianapolis,Indianapolis Business Journal
Billings,The Billings Gazette
Palm Springs,The Public Record
Chicopee,BusinessWest
OAKLAND,Oakland Post
TRENTON,New Jersey Business
Concord,Concord Monitor
Missoula,Missoulian
Orlando,La Prensa
Tel Aviv,The Jerusalem Post (Online)
LAWRENCE,Daily Journal World
San Bernadino,El Chicano Weekly
Syracuse,The Business Journal - Central New York
Cleveland,Smart Business Cleveland
San Diego,San Diego Business Journal
Charlotte,"Business, North Carolina"
Fort Wayne,Business People
Pioneer Station,The Enterprise
Irvine,Orange County Business Journal
WHITE RIVER JUNCTION,Valley News
Lincoln City,Environment News Service
REDONDO BEACH,Send2Press Newswire
ANCHORAGE,Alaska Journal of Commerce
Clarksburg,The State Journal
Hackensack,The Record
St. Petersburg,Florida Trend
CHARLOTTE,The Triangle Tribune
London,Babbage (Podcast)
SILVIS,Hola America
TUPELO,The Mississippi Business Journal
MILWAUKEE,Milwaukee Courier
Lexington,The Lane Report
PAONIA,High Country News
Louisville,Louisville
Norcross,Georgia Trend
Hawthorne,Fairfield County Business Journal
Lansing,Greater Lansing Business Monthly
Yakima,Yakima Herald - Republic
Kansas City,Wichita Beacon (Online)
